column_or_row_name,BERVO Combination,BERVO Term,unit,definition,data_type,missing_value_code,source_files,berdl_export_status,mapping_notes,proposed_bervo_term,sample_values,suggested_berdl_table,modeling_recommendation
file_name,unnecessary?,,,Name of the files in the dataset/data package.,text,,,data_dictionary_metadata,File/data-dictionary metadata; not exported as LAI data variables.,,flmd.csv | dd.csv | lai_au_metadata_cleaned.csv | lai_tree_metadata_cleaned.csv,not_exported,"not_exported: ESS-DIVE data-dictionary/file-level metadata, not an LAI observation variable."
file_description,unnecessary?,,,A brief description of the files in the dataset/data package.,text,,,data_dictionary_metadata,File/data-dictionary metadata; not exported as LAI data variables.,,File level metadata associated with dataset describing files contained within dataset. | Data dictionary defining column headers and other terms contained within data files across the dataset. | Field-collected metadata for leaf area index (LAI) measurements at meadow sites collected as part of the 2025 Colorad... | Field-collected metadata for leaf area index (LAI) measurements at forest sites collected as part of the 2025 Colorad...,not_exported,"not_exported: ESS-DIVE data-dictionary/file-level metadata, not an LAI observation variable."
standard,unnecessary?,,,Standard applied to the data file.,text,,,data_dictionary_metadata,File/data-dictionary metadata; not exported as LAI data variables.,,ESS-DIVE FLMD v1 | ESS-DIVE CSV v1,not_exported,"not_exported: ESS-DIVE data-dictionary/file-level metadata, not an LAI observation variable."
file_version,unnecessary?,,,Version of the file described within file level metadata file. ,text,,,data_dictionary_metadata,File/data-dictionary metadata; not exported as LAI data variables.,,,not_exported,"not_exported: ESS-DIVE data-dictionary/file-level metadata, not an LAI observation variable."
data_orientation,unnecessary?,,,Description of how the data are organized within the data file.,text,,,data_dictionary_metadata,File/data-dictionary metadata; not exported as LAI data variables.,,horizontal,not_exported,"not_exported: ESS-DIVE data-dictionary/file-level metadata, not an LAI observation variable."
header_rows,unnecessary?,,,Total number of header rows before the start of the first data row.,numeric,,,data_dictionary_metadata,File/data-dictionary metadata; not exported as LAI data variables.,,1 | -9999,not_exported,"not_exported: ESS-DIVE data-dictionary/file-level metadata, not an LAI observation variable."
column_or_row_name_position,unnecessary?,,,Row or column number that contains the header names.,numeric,,,data_dictionary_metadata,File/data-dictionary metadata; not exported as LAI data variables.,,1 | -9999,not_exported,"not_exported: ESS-DIVE data-dictionary/file-level metadata, not an LAI observation variable."
column_or_row_name,unnecessary?,,,Column or row name contained within a file.,text,,,data_dictionary_metadata,File/data-dictionary metadata; not exported as LAI data variables.,,file_name | file_description | standard | file_version,not_exported,"not_exported: ESS-DIVE data-dictionary/file-level metadata, not an LAI observation variable."
unit,unnecessary?,,,Unit of column or row name within file.,text,,,data_dictionary_metadata,File/data-dictionary metadata; not exported as LAI data variables.,,YYYY-MM-DD | degrees | decimal degrees,not_exported,"not_exported: ESS-DIVE data-dictionary/file-level metadata, not an LAI observation variable."
definition,unnecessary?,,,Definition of column or row name.,text,,,data_dictionary_metadata,File/data-dictionary metadata; not exported as LAI data variables.,,Name of the files in the dataset/data package. | A brief description of the files in the dataset/data package. | Standard applied to the data file. | Version of the file described within file level metadata file.,not_exported,"not_exported: ESS-DIVE data-dictionary/file-level metadata, not an LAI observation variable."
column_or_row_long_name,unnecessary?,,,Longer human-readable column or row name.,text,,,data_dictionary_metadata,File/data-dictionary metadata; not exported as LAI data variables.,,,not_exported,"not_exported: ESS-DIVE data-dictionary/file-level metadata, not an LAI observation variable."
data_type,unnecessary?,,,Type of data that the column or row contains.,text,,,data_dictionary_metadata,File/data-dictionary metadata; not exported as LAI data variables.,,text | numeric | date,not_exported,"not_exported: ESS-DIVE data-dictionary/file-level metadata, not an LAI observation variable."
missing_value_code,unnecessary?,,,Missing value code used within a column.,text,,,data_dictionary_metadata,File/data-dictionary metadata; not exported as LAI data variables.,,,not_exported,"not_exported: ESS-DIVE data-dictionary/file-level metadata, not an LAI observation variable."
Site_Number,"Identifier, Context = measurement site",BERVO:8000528,N/A,"Unique identifier for each sample, corresponding to the number of the metal tag affixed to a stake at the corner of each plot.",text,NA,lai_au_metadata_cleaned.csv | lai_au_summary_data_cleaned.csv | lai_meadow_metadata_cleaned.csv | lai_meadow_summary_data_cleaned.csv | lai_shrub_metadata_cleaned.csv | lai_shrub_summary_data_cleaned.csv | lai_tree_metadata_cleaned.csv | lai_tree_summary_data_cleaned.csv,used_in_berdl_data_table,Used as a site/sample dimension variable.,,M1-1 | M1-2 | M1-3 | M1-4,leaf_area_index_site_metadata | leaf_area_index_summary,dimension_variable: primary site or plot identifier; keep as row-level dimension in all LAI tables.
Location_Type,"Community type, Context = land cover class",BERVO:8000404,N/A,Broad land cover classification for the measurement site. meadow=site with predominantly herbaceous vegetation or site with woody shrubs less than 0.5 m tall. shrub=woody plants with canopies greater than 1 m^2 and up to 3 m tall. tree=woody plants more than 3 m tall and belonging to a pre-defined species list. understory=predominantly herbaceous ground cover under quaking aspen (Populus tremuloides) forest canopy measured in an ancillary aspen understory project. overstory=quaking aspen (P. tremuloides) trees more than 3 m tall measured in an ancillary aspen understory project.,text,NA,lai_au_metadata_cleaned.csv | lai_au_summary_data_cleaned.csv | lai_meadow_metadata_cleaned.csv | lai_meadow_summary_data_cleaned.csv | lai_shrub_metadata_cleaned.csv | lai_shrub_summary_data_cleaned.csv | lai_tree_metadata_cleaned.csv | lai_tree_summary_data_cleaned.csv,used_in_berdl_data_table,Broad land-cover/vegetation class; repeated constants can move to array metadata.,,understory | overstory | meadow | shrub,leaf_area_index_site_metadata | leaf_area_index_summary,dimension_variable: vegetation/community class; move to array-level metadata only if tables are split by location type.
Sampling_Area,"Region, Context = sampling area",BERVO:8000519,N/A,Two-letter or short code identifying the sampling area within the study region.,text,NA,lai_au_metadata_cleaned.csv | lai_au_summary_data_cleaned.csv | lai_meadow_metadata_cleaned.csv | lai_meadow_summary_data_cleaned.csv | lai_shrub_metadata_cleaned.csv | lai_shrub_summary_data_cleaned.csv | lai_tree_metadata_cleaned.csv | lai_tree_summary_data_cleaned.csv,used_in_berdl_data_table,Retain the original CHESS sampling-area code as a dimension variable; resolved sampling-area name is exported separately as Sampling_Area_Full_Name.,,AU | AS | AN | CR | RU,leaf_area_index_site_metadata | leaf_area_index_summary,dimension_variable: source sampling-area code retained for provenance and paired with derived resolved sampling-area metadata.
Sampling_Area_Full_Name,"Region, Context = resolved sampling area",BERVO:8000519,N/A,Human-readable sampling-area name derived from the Sampling_Area code.,text,NA,derived from Sampling_Area using vegetation_attributes_photos/chess_tree_site_cleaned.csv | vegetation_attributes_photos/chess_shrub_site_cleaned.csv | vegetation_attributes_photos/chess_meadow_site_cleaned.csv | leaf_area_index/flmd.csv,used_in_berdl_data_table,"Derived lookup dimension. Most codes resolve from 2025 vegetation site metadata; AU resolves from LAI ancillary aspen understory metadata; RU is collapsed to Taylor River Road because both upper and lower Taylor River Road labels occur for that code.",,Ancillary aspen understory | Almont Triangle South | Almont Triangle North | Carbon Creek | Taylor River Road,leaf_area_index_site_metadata | leaf_area_index_summary,dimension_variable: resolved sampling-area label grouped with Sampling_Area.
Collection_Date,"Date, Context = collection",BERVO:8000239,YYYY-MM-DD,Calendar date of field data collection following ISO 8601 format: YYYY-MM-DD.,date,NA,lai_au_metadata_cleaned.csv | lai_meadow_metadata_cleaned.csv | lai_shrub_metadata_cleaned.csv | lai_tree_metadata_cleaned.csv,used_in_berdl_data_table,Collection date dimension or array metadata if constant; summary rows inherit this from site metadata during generation.,,2025-07-17 | 2025-06-14 | 2025-06-15,leaf_area_index_site_metadata | leaf_area_index_summary,row_level_metadata: collection date varies by site; array-level only for single-date arrays.
Light_Conditions,"Description, Context = sky and illumination conditions",BERVO:8000390,N/A,"Description of sky and illumination conditions during measurement (e.g., clear and sunny, cloudy, hazy).",text,NA,lai_au_metadata_cleaned.csv | lai_meadow_metadata_cleaned.csv | lai_shrub_metadata_cleaned.csv | lai_tree_metadata_cleaned.csv,used_in_berdl_data_table,Data dictionary defines this as a description; map to Description rather than Condition.,,"cloudy | clear, sunny | hazy",leaf_area_index_site_metadata,row_level_metadata: illumination description used to interpret scattering correction.
Requires_K,"Binary, Context = scattering correction required",BERVO:8000357,N/A,Whether a scattering correction (K record) is required for LAI computation. TRUE under sunny or hazy conditions; FALSE under fully cloudy or overcast skies where diffuse light predominates.,text,NA,lai_au_metadata_cleaned.csv | lai_meadow_metadata_cleaned.csv | lai_shrub_metadata_cleaned.csv | lai_tree_metadata_cleaned.csv,used_in_berdl_data_table,Boolean flag; consider exact processing/QC flag term only if these are queried often.,,FALSE | TRUE,leaf_area_index_site_metadata,row_level_metadata: processing/QC flag for scattering correction.
Associated_K,"Identifier, Context = associated scattering correction record",BERVO:8000528,N/A,Site_Number of the site whose K record is used for scattering correction. NA when Requires_K is FALSE. Multiple sites may share a single K record if measured under similar open-sky conditions.,text,NA,lai_au_metadata_cleaned.csv | lai_meadow_metadata_cleaned.csv | lai_shrub_metadata_cleaned.csv,used_in_berdl_data_table,References the site/record used for K scattering correction.,,1007 | 1028 | 1049 | 1034,leaf_area_index_site_metadata,row_level_metadata: provenance link to the K record/site used for correction.
Contains_K,"Binary, Context = scattering correction record collected at site",BERVO:8000357,N/A,"Whether the K (scattering correction) measurements were physically collected at this site (TRUE) or at the site identified in Associated_K (FALSE). When TRUE, the K records are contained in the same file as the A and B records.",text,NA,lai_au_metadata_cleaned.csv | lai_meadow_metadata_cleaned.csv | lai_shrub_metadata_cleaned.csv,used_in_berdl_data_table,Boolean flag.,,FALSE | TRUE,leaf_area_index_site_metadata,row_level_metadata: boolean provenance flag.
K_Record_Azimuth,"Azimuth, Context = scattering correction sensor cap",BERVO:8000532,degree,"Comma-separated list of azimuths (degrees) toward which the K record sensor view cap was oriented during scattering correction measurements. Meadow sites typically use four azimuths (315, 225, 135, 45); shrub sites typically use a single azimuth (0). NA when Requires_K is FALSE.",text,NA,lai_au_metadata_cleaned.csv | lai_meadow_metadata_cleaned.csv | lai_shrub_metadata_cleaned.csv,used_in_berdl_data_table,Uses new generic Azimuth term.,,"315, 225, 135, 45 | 45, 315, 225, 135 | 315, 225, 135, 46 | 315, 225, 135, 47",leaf_area_index_site_metadata,row_level_metadata: K-record view orientation; null where no K record was required.
Asky_FOV,"Field of view angle, Context = A/B record sensor cap",BERVO:8000533,degree,Field-of-view angle of the sensor cap used during A and B record collection.,numeric,NA,lai_au_metadata_cleaned.csv | lai_meadow_metadata_cleaned.csv | lai_shrub_metadata_cleaned.csv | lai_tree_metadata_cleaned.csv,used_in_berdl_data_table,Uses new Field of view angle term.,,90,leaf_area_index_site_metadata,array_level_metadata: constant 90 degree A/B sensor cap field of view in cleaned files.
Widesky_FOV,"Field of view angle, Context = wide-sky reference",BERVO:8000533,degree,Wide-sky field-of-view angle used for the full hemispherical reference measurement.,numeric,NA,lai_au_metadata_cleaned.csv | lai_meadow_metadata_cleaned.csv | lai_shrub_metadata_cleaned.csv | lai_tree_metadata_cleaned.csv,used_in_berdl_data_table,Uses new Field of view angle term.,,360,leaf_area_index_site_metadata,array_level_metadata: constant 360 degree wide-sky reference field of view in cleaned files.
Latitude,Latitude,BERVO:8000395,degree,"Latitude of the measurement site in decimal degrees, WGS 84 datum. NOTE: These values represent measurement site centroids. They are used for scattering correction computations and are not intended for precise geospatial analysis. For accurate geospatial information, please use the geojson files in the associated package 'CHESS 2025: Location data for field observations and sampling.'",numeric,NA,lai_meadow_metadata_cleaned.csv | lai_shrub_metadata_cleaned.csv | lai_tree_metadata_cleaned.csv,used_in_berdl_data_table,WGS 84 centroid latitude; not precise survey position.,,38.71973541 | 38.71960691 | 38.71947237 | 38.71998469,leaf_area_index_site_metadata,dimension_variable: site centroid coordinate; not the precise survey location.
Longitude,Longitude,BERVO:8000396,degree,"Longitude of the measurement site in decimal degrees, WGS 84 datum. These values represent measurement site centroids. They are used for scattering correction computations and are not intended for precise geospatial analysis. For accurate geospatial information, please use the geojson files in the associated package 'CHESS 2025: Location data for field observations and sampling.'",numeric,NA,lai_meadow_metadata_cleaned.csv | lai_shrub_metadata_cleaned.csv | lai_tree_metadata_cleaned.csv,used_in_berdl_data_table,WGS 84 centroid longitude; not precise survey position.,,-106.8165982 | -106.8172044 | -106.8157875 | -106.8166505,leaf_area_index_site_metadata,dimension_variable: site centroid coordinate; not the precise survey location.
Notes,"Comment, Context = measurement notes",BERVO:8000305,N/A,"Free-text field documenting measurement anomalies, terrain conditions, procedural deviations, or additional context. NA indicates no notes were recorded.",text,NA,lai_au_metadata_cleaned.csv | lai_meadow_metadata_cleaned.csv | lai_shrub_metadata_cleaned.csv | lai_tree_metadata_cleaned.csv,used_in_berdl_data_table,Free-text notes; source NA values should export as null.,,on the SFA LAI unit | only 3 corners measured | no records captured for M4-7,leaf_area_index_site_metadata,row_level_metadata: free-text QC/procedure notes; export source NA values as null.
QC_Flag,"Quality control flag, Context = leaf area index processing",BERVO:8000536,N/A,Controlled-text field with codes indicating QC flags. g1: One or more gap fraction values exceeded 1.0 and were capped at 1.0. a0: A record contains one or more 0.0 values; gap fraction is coerced to NA and excluded from LAI and scattering correction computations. b0: B record contains one or more 0.0 values; gap fraction is allowed to stand at 0.0 and is included in LAI and scattering correction computations.,text,NA,lai_au_metadata_cleaned.csv | lai_meadow_metadata_cleaned.csv | lai_shrub_metadata_cleaned.csv | lai_tree_metadata_cleaned.csv,used_in_berdl_data_table,Uses new Quality control flag term; source values are controlled text QC codes and may contain multiple flags.,,g1 | b0 g1,leaf_area_index_site_metadata,row_level_metadata: controlled QC flag values.
Focal_Tree_Species,"Taxon, Taxonomic level = species, Context = focal tree",BERVO:8000324,N/A,"Four-letter USDA taxonomic species code for the focal tree within or near the LAI plot. ABLA=subalpine fir (Abies lasiocarpa), PICO=lodgepole pine (Pinus contorta), PIEN=Engelmann spruce (Picea engelmannii), POTR=quaking aspen (Populus tremuloides), PSME=Rocky Mountain Douglas fir (Pseudotsuga menziesii).",text,NA,lai_tree_metadata_cleaned.csv,used_in_berdl_data_table,Retain the original USDA PLANTS-style focal-tree species code as a dimension variable; derived taxon metadata rows expand the code to family/genus/specific epithet/binomial/NCBI Taxon ID/GBIF Taxon ID where available.,,POTR | PSME | PICO | PIEN,leaf_area_index_site_metadata,dimension_variable: focal-tree source code retained for provenance and paired with derived taxon metadata.
Focal_Tree_Taxon_Family,"Taxon, Taxonomic level = family, Context = focal tree",BERVO:8000324,N/A,Taxonomic family of the focal tree derived from the USDA-style focal tree species code.,text,NA,lai_tree_metadata_cleaned.csv | vegetation_attributes_photos/chess_species_list_cleaned.csv | vegetation_attributes_photos/chess_tree_site_cleaned.csv,used_in_berdl_data_table,Derived from Focal_Tree_Species code; PSME uses accepted family Pinaceae even though the local vegetation species list lacks a corrected Pseudotsuga menziesii row.,,Pinaceae | Salicaceae,leaf_area_index_site_metadata | leaf_area_index_summary,dimension_variable: focal-tree taxon family derived from source code.
Focal_Tree_Taxon_Genus,"Taxon, Taxonomic level = genus, Context = focal tree",BERVO:8000324,N/A,Taxonomic genus of the focal tree derived from the USDA-style focal tree species code.,text,NA,lai_tree_metadata_cleaned.csv | vegetation_attributes_photos/chess_species_list_cleaned.csv | vegetation_attributes_photos/chess_tree_site_cleaned.csv,used_in_berdl_data_table,Derived from Focal_Tree_Species code; PSME genus is Pseudotsuga based on the LAI data dictionary and tree-site metadata.,,Populus | Pseudotsuga | Pinus | Picea | Abies,leaf_area_index_site_metadata | leaf_area_index_summary,dimension_variable: focal-tree genus derived from source code.
Focal_Tree_Taxon_Species_Epithet,"Taxon, Taxonomic level = species, Context = focal tree",BERVO:8000324,N/A,Specific epithet of the focal tree derived from the USDA-style focal tree species code.,text,NA,lai_tree_metadata_cleaned.csv | vegetation_attributes_photos/chess_species_list_cleaned.csv | vegetation_attributes_photos/chess_tree_site_cleaned.csv,used_in_berdl_data_table,Derived from Focal_Tree_Species code and stored separately from the retained USDA-style code.,,tremuloides | menziesii | contorta | engelmannii | lasiocarpa,leaf_area_index_site_metadata | leaf_area_index_summary,dimension_variable: focal-tree species epithet derived from source code.
Focal_Tree_Taxon_Binomial,"Taxon, Taxonomic level = species, Context = focal tree binomial name",BERVO:8000324,N/A,Scientific binomial name of the focal tree derived from the USDA-style focal tree species code.,text,NA,lai_tree_metadata_cleaned.csv | vegetation_attributes_photos/chess_species_list_cleaned.csv | vegetation_attributes_photos/chess_tree_site_cleaned.csv,used_in_berdl_data_table,Derived from Focal_Tree_Species code; PSME is corrected to Pseudotsuga menziesii despite a local vegetation metadata typo.,,Populus tremuloides | Pseudotsuga menziesii | Pinus contorta | Picea engelmannii | Abies lasiocarpa,leaf_area_index_site_metadata | leaf_area_index_summary,dimension_variable: focal-tree scientific binomial derived from source code.
Focal_Tree_NCBI_Taxon_ID,"Identifier, Context = NCBI Taxonomy identifier, Taxonomic level = species",BERVO:8000528,N/A,NCBI Taxonomy identifier for the focal tree taxon derived from the USDA-style focal tree species code.,text,NA,lai_tree_metadata_cleaned.csv | vegetation_attributes_photos/chess_species_list_cleaned.csv | vegetation_attributes_photos/chess_tree_site_cleaned.csv,used_in_berdl_data_table,Store as an identifier rather than a numeric measurement; values are mapped from the focal-tree binomial.,,3693 | 3357 | 3339 | 3334 | 34340,leaf_area_index_site_metadata | leaf_area_index_summary,dimension_variable: focal-tree NCBI Taxonomy identifier derived from source code.
Focal_Tree_GBIF_Taxon_ID,"Identifier, Context = GBIF taxon identifier, Taxonomic level = species",BERVO:8000528,N/A,GBIF taxon identifier for the focal tree taxon derived from the USDA-style focal tree species code when locally available.,text,NA,lai_tree_metadata_cleaned.csv | vegetation_attributes_photos/chess_species_list_cleaned.csv | vegetation_attributes_photos/chess_tree_site_cleaned.csv,used_in_berdl_data_table,GBIF IDs are available locally for ABLA/PICO/PIEN/POTR; PSME should be left empty unless a corrected GBIF mapping is added.,,3040215 | 2685313 | 5285750 | 5284917,leaf_area_index_site_metadata | leaf_area_index_summary,dimension_variable: focal-tree GBIF taxon identifier derived from source code; partial missing values should remain empty in exports.
Plot_Contains_Focal_Tree,"Binary, Context = plot contains focal tree",BERVO:8000357,N/A,Whether the LAI measurement plot physically contains the focal tree (TRUE) or is located nearby in a representative stand (FALSE).,text,NA,lai_tree_metadata_cleaned.csv,used_in_berdl_data_table,Boolean flag.,,TRUE | FALSE,leaf_area_index_site_metadata,row_level_metadata: boolean plot/focal-tree relationship.
A_Record,"Identifier, Context = LI-COR above-canopy reference record",BERVO:8000528,N/A,Identifier for the LI-COR LAI-2200C A (above-canopy reference) data record in the raw instrument file. Often shared across multiple sites within a sampling area and measured under similar open-sky conditions.,text,NA,lai_tree_metadata_cleaned.csv,used_in_berdl_data_table,Identifier for raw A record.,,A1603 | A1606 | A1609 | A1613,leaf_area_index_site_metadata,row_level_metadata: raw A-record identifier; useful provenance key into raw file tables.
B_Record,"Identifier, Context = LI-COR below-canopy record",BERVO:8000528,N/A,Identifier for the LI-COR LAI-2200C B (below-canopy) data record in the raw instrument file. Typically unique to each site.,text,NA,lai_tree_metadata_cleaned.csv,used_in_berdl_data_table,Identifier for raw B record.,,B1603 | B1606 | B1609 | B1613,leaf_area_index_site_metadata,row_level_metadata: raw B-record identifier; useful provenance key into raw file tables.
K_Record,"Identifier, Context = LI-COR scattering correction record",BERVO:8000528,N/A,Identifier for the LI-COR LAI-2200C K (scattering correction) data record in the raw instrument file. Sometimes shared across nearby sites measured under similar open-sky conditions.,text,NA,lai_tree_metadata_cleaned.csv,used_in_berdl_data_table,Identifier for raw K record.,,K1603 | K1606 | K1609 | K1615,leaf_area_index_site_metadata,row_level_metadata: raw K-record identifier; useful provenance key into raw file tables.
A_Record_Azimuth,"Azimuth, Context = A/B record sensor orientation",BERVO:8000532,degree,"Compass azimuth toward which the sensor was oriented for A and B records, and for the final K record observation.",numeric,NA,lai_tree_metadata_cleaned.csv,used_in_berdl_data_table,Uses new generic Azimuth term.,,290 | 45 | 18 | 40,leaf_area_index_site_metadata,row_level_metadata: A/B record sensor orientation.
