file_name,file_description,standard,data_orientation,header_rows,column_or_row_name_position,notes
flmd.csv,File level metadata associated with dataset describing files contained within dataset.,ESS-DIVE FLMD v1,horizontal,1,1,
dd.csv,Data dictionary defining column headers and other terms contained within data files across the dataset.,ESS-DIVE FLMD v1,horizontal,1,1,
lai_au_metadata_cleaned.csv,"Field-collected metadata for leaf area index (LAI) measurements at meadow sites collected as part of the 2025 Colorado Headwaters Ecological Spectroscopy Study field campaign. This file describes individual LAI measurement plots for the ancillary aspen understory project conducted by the CHESS team in July 2025. Measurements were collected using a LI-COR LAI-2200C plant canopy analyzer. For this project, seven 100 m^2 plots were measured under quaking aspen (Populus tremuloides) canopy following the protocols for typical forest plots ('overstory' measurements). In addition, within each forest plot, nine 1 m^2 subplots were measured to capture both understory and overstory vegetation, following the protocols for typical meadow plots ('understory' measurements). The metadata has been QC'd via manual comparison to raw LI-COR data files. Corrections are documented in the 'Notes' field and QC flags are indicated in the 'QC_Flag' field.",ESS-DIVE CSV v1,horizontal,1,1,
lai_tree_metadata_cleaned.csv,"Field-collected metadata for leaf area index (LAI) measurements at forest sites collected as part of the 2025 Colorado Headwaters Ecological Spectroscopy Study field campaign. This file describes individual LAI measurement plots associated with focal trees visited by the CHESS team in June and July 2025. Measurements were collected using a LI-COR LAI-2200C plant canopy analyzer. The metadata includes file names where raw above-canopy (A), below-canopy (B), and scattering correction (K) measurements were originally recorded. For forest sites, A and B records were taken on separate wands. The metadata has been QC'd via manual comparison to raw LI-COR data files. Corrections are documented in the 'Notes' field and QC flags are indicated in the 'QC_Flag' field.",ESS-DIVE CSV v1,horizontal,1,1,
lai_meadow_metadata_cleaned.csv,"Field-collected metadata for leaf area index (LAI) measurements at meadow sites collected as part of the 2025 Colorado Headwaters Ecological Spectroscopy Study field campaign. This file describes individual LAI measurement plots at meadow locations visited by the CHESS team in June and July 2025. Measurements were collected using a LI-COR LAI-2200C plant canopy analyzer. Unlike forest sites, meadow and shrub sites do not have associated A or B records; instead, each site serves as its own measurement location, and A, K, and B records were collected consecutively on the same wand. K records for scattering correction are often shared across nearby plots measured under similar open-sky conditions. The metadata has been QC'd via manual comparison to raw LI-COR data files. Corrections are documented in the 'Notes' field and QC flags are indicated in the 'QC_Flag' field.",ESS-DIVE CSV v1,horizontal,1,1,
lai_shrub_metadata_cleaned.csv,"Field-collected metadata for leaf area index (LAI) measurements at shrub sites collected as part of the 2025 Colorado Headwaters Ecological Spectroscopy Study field campaign. This file describes individual LAI measurement plots at shrub locations visited by the CHESS team in June and July 2025. Measurements were collected using a LI-COR LAI-2200C plant canopy analyzer. Unlike forest sites, metadata for meadow and shrub sites does not describe separate files for A, B, and K records; instead, each site serves as its own identifier, for which A, K, and B records were collected consecutively on the same wand. K records for scattering correction are often shared across nearby plots measured under similar open-sky conditions. The metadata described in the fields below has been QC'd via manual comparison to raw LI-COR data files, with corrections noted in the Notes field.",ESS-DIVE CSV v1,horizontal,1,1,
lai_au_summary_data_cleaned.csv,"Summary data for leaf area index (LAI) measurements collected as part of the 2025 Colorado Headwaters Ecological Spectroscopy Study field campaign. The data in this file are from the ancillary aspen understory project conducted by the CHESS team in July 2025. The data include summary values of LAI, apparent clumping factor (ACF), and scattering correction factors for each site. Variable values are reported for each overstory subplot and for the four corners of each understory subplot. This file, and the corresponding files for meadow, shrub, and tree sites, are the analysis-ready products that most data users will want to work with. ",ESS-DIVE CSV v1,horizontal,1,1,
lai_tree_summary_data_cleaned.csv,"Summary data for leaf area index (LAI) measurements collected as part of the 2025 Colorado Headwaters Ecological Spectroscopy Study field campaign. The data in this file are from LAI measurement subplots associated with focal trees visited by the CHESS team in June and July 2025. The data include summary values of LAI, apparent clumping factor (ACF), and scattering correction factors for each site. Variable values are reported for each tree subplot. This file, and the corresponding files for meadow, shrub, and aspen understory sites, are the analysis-ready products that most data users will want to work with. ",ESS-DIVE CSV v1,horizontal,1,1,
lai_meadow_summary_data_cleaned.csv,"Summary data for leaf area index (LAI) measurements collected as part of the 2025 Colorado Headwaters Ecological Spectroscopy Study field campaign. The data in this file are from meadow plots visited by the CHESS team in June and July 2025. The data include summary values of LAI, apparent clumping factor (ACF), and scattering correction factors for each site. Variable values are reported for the four corners of each meadow plot. This file, and the corresponding files for tree, shrub, and aspen understory sites, are the analysis-ready products that most data users will want to work with. ",ESS-DIVE CSV v1,horizontal,1,1,
lai_shrub_summary_data_cleaned.csv,"Summary data for leaf area index (LAI) measurements collected as part of the 2025 Colorado Headwaters Ecological Spectroscopy Study field campaign. The data in this file are from individual shrubs visited by the CHESS team in June and July 2025. The data include summary values of LAI, apparent clumping factor (ACF), and scattering correction factors for each site. Variable values are reported for each shrub. This file, and the corresponding files for meadow, tree, and aspen understory sites, are the analysis-ready products that most data users will want to work with. ",ESS-DIVE CSV v1,horizontal,1,1,
*.TXT,"Raw data as read from the LI-COR LAI-2200C instrument, with no processing applied, in TXT format. These files are compressed in the 'raw_lai2200c.zip' archive. They conform to the original output standard for the device, which comprises a header, statistics reported from onboard computations, a sensor configuration report, and a tab-delimited table of observations. ",N/A,N/A,-9999,-9999,
*_intermediate_lai.json,"Intermediate processed leaf area index (LAI) data collected as part of the 2025 Colorado Headwaters Ecological Spectroscopy Study field campaign. These files are compressed in the 'intermediate_results.zip' archive and report output from the processing routines. They are intended for users who wish to view results of LAI estimation at a higher level of granularity than are reported in the lai_*_summary_data_cleaned.csv files, or who would like to recompute summary values using different parameters and starting assumptions. These JSON (.json) files are organized within subfolders by vegetation type and site. For meadow sites, values are reported for each of the four corners of a sampling plot. For shrub, tree, and aspen understory sites, values are reported averaged over the site. ",N/A,N/A,-9999,-9999,
*_scatcor_log.csv,Kobayashi scattering correction algorithm parameters for leaf area index (LAI) measurements collected as part of the 2025 Colorado Headwaters Ecological Spectroscopy Study field campaign. These files contain intermediate output values for parameters in the Kobayashi et al. (2013) scattering correction algorithm (doi:10.1016/j.agrformet.2013.02.013) applied to LI-COR LAI-2200C measurements. The scattering correction accounts for radiation scattered into the sensor field of view by foliage elements which causes underestimation of LAI under non-ideal sky conditions. The logfiles report values of several parameters at each iteration of the algorithm as the model converges toward a stable solution. They are intended for users who want to verify scattering correction performance. The zip archive contains subdirectories by site type; filenames correspond to the sampling site number.,ESS-DIVE CSV v1,horizontal,1,1,
spot_checks.csv,"LAI and associated values for a small number of files processed with LI-COR FV2200 software (LI-COR 2013) using the same control parameters that we imposed in the `rlai` methodology. These data serve as spot comparisons to demonstrate fidelity between the LI-COR software, which is commonly used in the literature, and our reproducible, programmatic approach.",ESS-DIVE CSV v1,horizontal,1,1,