column_or_row_name,BERVO Combination,BERVO Term,unit,definition,data_type,source_file,berdl_export_status,nonempty_value_count,sample_values,mapping_notes,proposed_bervo_term
file_name,unnecessary?,,,Name of the files in the dataset/data package.,text,,data_dictionary_metadata,,,,
file_description,unnecessary?,,,A brief description of the files in the dataset/data package.,text,,data_dictionary_metadata,,,,
standard,unnecessary?,,,Standard applied to the data file.,text,,data_dictionary_metadata,,,,
column_or_row_name,unnecessary?,,,Column or row name contained within a file.,text,,data_dictionary_metadata,,,,
unit,unnecessary?,,,Unit of column or row name within file.,text,,data_dictionary_metadata,,,,
definition,unnecessary?,,,Definition of column or row name.,text,,data_dictionary_metadata,,,,
data_type,unnecessary?,,,Type of data that the column or row contains.,text,,data_dictionary_metadata,,,,
missing_value_code,unnecessary?,,,Missing value code for a column or row name.,text,,data_dictionary_metadata,,,,
sample name,"Identifier, Context = environmental sample",BERVO:8000528,,"A local identifier or name that for the material sample used for extracting nucleic acids, and subsequent sequencing.",text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,used_in_berdl_data_table,250,002-ER18-SC-SDNA | 003-ER18-SC-SDNA | 004-ER18-SC-SDNA | 005-ER18-SC-SDNA | 006-ER18-SC-SDNA,,
source material identifier,"Identifier, Context = source material",BERVO:8000528,,"A unique identifier assigned to a material sample used for extracting nucleic acids, and subsequent sequencing.",text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,used_in_berdl_data_table,249,10.58052/IER1800PH | 10.58052/IER1800PI | 10.58052/IER1800PJ | 10.58052/IER1800PK | 10.58052/IER1800PL,,
analysis/data type,"Environmental measurement, Context = analysis data type",BERVO:8000412,,Analysis/data type associated with sample.,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,array_level_metadata,250,metagenomics,,
sample linkage,"Identifier, Context = sample linkage",BERVO:8000528,,Linkage for sample.,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
broad-scale environmental context,"Environmental feature, Context = broad scale",BERVO:8000400,,Report the major environmental system the sample or specimen came from.,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,array_level_metadata,250,terrestrial biome [ENVO:00000446],,
local environmental context,"Environmental feature, Context = local",BERVO:8000400,,Report the entity or entities which are in the sample or specimens local vicinity and which you believe have significant causal influences on your sample or specimen.,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,array_level_metadata,250,mountain [ENVO:00000081],,
environmental medium,Environmental material,BERVO:8000402,,Report the environmental material(s) immediately surrounding the sample or specimen at the time of sampling.,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,array_level_metadata,250,bulk soil [ENVO:00005802],,
ecosystem,Ecosystem,BERVO:8000043,,Ecosystem name associated with sample.,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,array_level_metadata,250,Environmental,,
ecosystem_category,"Ecosystem, Context = category",BERVO:8000043,,Category of ecosystem associated with sample.,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,array_level_metadata,250,Terrestrial,,
ecosystem_type,"Ecosystem, Context = type",BERVO:8000043,,Type of ecosystem associated with sample.,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,array_level_metadata,250,Soil,,
ecosystem_subtype,"Ecosystem, Context = subtype",BERVO:8000043,,Subtype of ecosystem associated with sample.,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,array_level_metadata,250,Watershed,,
specific_ecosystem,"Ecosystem, Context = specific",BERVO:8000043,,Specific ecosystem associated with sample.,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,array_level_metadata,250,Unclassified,,
slope aspect,"Slope, Context = aspect",BERVO:8000031,,"The direction a slope faces. While looking down a slope use a compass to record the direction you are facing (direction or degrees); e.g., nw or 315 degrees. ",text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
history/agrochemical additions,,,,"Addition of fertilizers, pesticides, etc. - amount and time of applications",text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
aluminum saturation/ extreme unusual properties,,,,Aluminum saturation (esp. For tropical soils),text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
aluminum saturation method/ extreme unusual properties,,,,Reference or method used in determining Al saturation,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
mean annual precipitation,"Precipitation, statistic = mean annual",BERVO:8000032,,"The average of all annual precipitation values known, or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps",text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
mean annual temperature,"Temperature, statistic = mean annual",BERVO:8000133,,mean annual temperature,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
history/crop rotation,,,,"Whether or not crop is rotated, and if yes, rotation schedule",text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
current land use,"Environmental sample location, Context = current land use",BERVO:8000514,,Present state of sample site,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
current vegetation,"Taxon, Context = current vegetation",BERVO:8000324,,"Vegetation classification from one or more standard classification systems, or agricultural crop",text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
current vegetation method,"Method, Context = vegetation classification",BERVO:8000303,,Reference or method used in vegetation classification,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
drainage classification,"Condition, Context = drainage classification",BERVO:8000302,,Drainage classification from a standard system such as the USDA system,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
experimental factor,,,,"Variable aspects of an experiment design that can be used to describe an experiment, or set of experiments, in an increasingly detailed manner.",text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
history/extreme events,,,,Unusual physical events that may have affected microbial populations,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
soil_taxonomic/FAO classification,"Soil type, Context = FAO classification",BERVO:8000497,,Soil classification from the FAO World soil distribution from International Soil Reference and Information Centre (ISRIC). ,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
history/fire,,,,Historical and/or physical evidence of fire,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
history/flooding,,,,Historical and/or physical evidence of flooding,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
heavy metals/ extreme unusual properties,,,,Heavy metals present in the sequenced sample and their concentrations,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
heavy metals method/ extreme unusual properties,,,,Reference or method used in determining heavy metals,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
soil horizon method,"Method, Context = soil horizon",BERVO:8000303,,Reference or method used in determining soil horizon,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
link to classification information,,,,Link to digitized soil maps or other soil classification information,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
link to climate information,,,,Link to climate resource,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
soil_taxonomic/local classification,"Soil type, Context = local classification",BERVO:8000497,,Soil classification based on local soil classification system,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
miscellaneous parameter,,,,"Any other measurement performed or parameter collected, that is not listed here",text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
soil_taxonomic/local classification method,"Method, Context = local soil classification",BERVO:8000303,,Reference or method used in determining the local soil classification,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
oxygenation status of sample,,,,Oxygenation status of sample,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
history/previous land use method,,,,Reference or method used in determining previous land use and dates,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
history/previous land use,,,,Previous land use and dates,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
profile position,,,,Cross-sectional position in the hillslope where sample was collected.sample area position in relation to surrounding areas,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
average seasonal precipitation,"Precipitation, statistic = average seasonal",BERVO:8000032,,"The average of all seasonal precipitation values known, or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps",text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
mean seasonal temperature,"Temperature, statistic = mean seasonal",BERVO:8000133,,Mean seasonal temperature,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
slope gradient,"Slope, Context = gradient",BERVO:8000031,,Commonly called 'slope'. The angle between ground surface and a horizontal line (in percent). This is the direction that overland water would flow. This measure is usually taken with a hand level meter or clinometer,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
soil horizon,"Layer, Context = soil horizon",BERVO:8000226,,Specific layer in the land area which measures parallel to the soil surface and possesses physical characteristics which differ from the layers above and beneath,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
soil texture measurement,"Soil type, Context = texture",BERVO:8000497,,"The relative proportion of different grain sizes of mineral particles in a soil, as described using a standard system; express as % sand (50 um to 2 mm), silt (2 um to 50 um), and clay (<2 um) with textural name (e.g., silty clay loam) optional",text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
soil texture method,"Method, Context = soil texture",BERVO:8000303,,Reference or method used in determining soil texture,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
soil type,Soil type,BERVO:8000497,,Description of the soil type or classification.,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
soil type method,"Method, Context = soil type",BERVO:8000303,,Reference or method used in determining soil series name or other lower-level classification,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
temperature,"Temperature, Context = sample collection",BERVO:8000133,,Temperature of the sample at the time of sampling,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
history/tillage,,,,Note method(s) used for tilling,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
water content,"Volumetric water content, Context = water filled pore space",BERVO:0001743,percent,Water content measurement,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,used_in_berdl_data_table,245,1.07 % water filled pore space | 1.01 % water filled pore space | 0.91 % water filled pore space | 0.95 % water filled pore space | 0.85 % water filled pore space,,
water content method,"Method, Context = volumetric water content",BERVO:8000303,,Reference or method used in determining the water content of soil,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,array_level_metadata,250,volumetric soil water content; volume water per volume soil (vol/vol),,
pH method,"Method, Context = pH",BERVO:8000303,,Reference or method used in determining pH,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,array_level_metadata,250,measured in 1:1 w/vol slurry (10.2136/sssabookser5.3.c16),,
microbial biomass,"Biomass, Context = microbial",BERVO:8000296,,The part of the organic matter in the soil that constitutes living microorganisms smaller than 5-10 micrometer. ,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
microbial biomass method,"Method, Context = microbial biomass",BERVO:8000303,,Microbial biomass method associated with sample.,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
carbon/nitrogen ratio,Carbon to nitrogen ratio,BERVO:8000109,,Ratio of amount or concentrations of carbon to nitrogen,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
organic matter,Organic matter,BERVO:8000286,,Concentration of organic matter,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
organic nitrogen,"Nitrogen, Context = organic",BERVO:8000167,,Concentration of organic nitrogen,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
total carbon,"Carbon, statistic = total",BERVO:8000075,,Total carbon content,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
total nitrogen content,"Nitrogen, statistic = total",BERVO:8000167,,Total nitrogen content of the sample,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
total nitrogen content method,"Method, Context = total nitrogen",BERVO:8000303,,Reference or method used in determining the total nitrogen,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
total organic carbon,Soil organic carbon content,BERVO:0001523,,Total organic carbon content,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
total organic carbon method,"Method, Context = soil organic carbon",BERVO:8000303,,Reference or method used in determining total organic carbon,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
total phosphorus,"Phosphorus, statistic = total",BERVO:8000001,,"Total phosphorus concentration in the sample, calculated by: total phosphorus = total dissolved phosphorus + particulate phosphorus",text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
phosphate,Phosphate,BERVO:8000138,,Concentration of phosphate,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
salinity,Salinity,BERVO:8000427,,The total concentration of all dissolved salts in a liquid or solid sample.,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
salinity method,"Method, Context = salinity",BERVO:8000303,,Reference or method used in determining salinity,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
links to additional analysis,"Identifier, Context = additional analysis link",BERVO:8000528,,Link to additional analysis results performed on the sample,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
growth facility,"Environmental sample location, Context = growth facility",BERVO:8000514,,"Type of facility where the sampled plant was grown; controlled vocabulary: growth chamber, open top chamber, glasshouse, experimental garden, field.",text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,array_level_metadata,250,field,,
storage conditions,"Condition, Context = sample storage",BERVO:8000302,,Explain how and for how long the soil sample was stored before DNA extraction (fresh/frozen/other),text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,array_level_metadata,250,frozen,,
